priref,lref,soort,url,personen
220392,9241131,color photograph,https://media.rkd.nl/iiif/9241131/full/max/0/default.jpg,"[{'nummer': '202740', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '202741', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '202742', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
224124,10660862,digital image,https://media.rkd.nl/iiif/10660862/full/max/0/default.jpg,[]
224939,9197707,digital color photograph,https://media.rkd.nl/iiif/9197707/full/max/0/default.jpg,"[{'nummer': '202861', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
224948,9197708,digital color photograph,https://media.rkd.nl/iiif/9197708/full/max/0/default.jpg,"[{'nummer': '202860', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
225368,9291146,color photograph,https://media.rkd.nl/iiif/9291146/full/max/0/default.jpg,"[{'nummer': '203005', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
225374,9291147,color photograph,https://media.rkd.nl/iiif/9291147/full/max/0/default.jpg,"[{'nummer': '203004', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
225380,9291150,color photograph,https://media.rkd.nl/iiif/9291150/full/max/0/default.jpg,"[{'nummer': '203001', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
225381,9291145,color photograph,https://media.rkd.nl/iiif/9291145/full/max/0/default.jpg,"[{'nummer': '203005', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
227235,9292360,digital color photograph,https://media.rkd.nl/iiif/9292360/full/max/0/default.jpg,[]
229213,9274352,digital image,https://media.rkd.nl/iiif/9274352/full/max/0/default.jpg,"[{'nummer': '107376', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
230987,9307934,digital color photograph,https://media.rkd.nl/iiif/9307934/full/max/0/default.jpg,"[{'nummer': '203406', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232068,9241188,digital color photograph,https://media.rkd.nl/iiif/9241188/full/max/0/default.jpg,"[{'nummer': '203509', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232068,9241189,color photograph,https://media.rkd.nl/iiif/9241189/full/max/0/default.jpg,"[{'nummer': '203509', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232107,9303652,digital color photograph,https://media.rkd.nl/iiif/9303652/full/max/0/default.jpg,[]
232190,9321397,digital image,https://media.rkd.nl/iiif/9321397/full/max/0/default.jpg,[]
232306,10655438,digital image,https://media.rkd.nl/iiif/10655438/full/max/0/default.jpg,"[{'nummer': '205379', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232336,9321431,digital image,https://media.rkd.nl/iiif/9321431/full/max/0/default.jpg,[]
232336,9321430,digital image,https://media.rkd.nl/iiif/9321430/full/max/0/default.jpg,[]
232484,10662314,digital image,https://media.rkd.nl/iiif/10662314/full/max/0/default.jpg,"[{'nummer': '203533', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232484,10662315,digital image,https://media.rkd.nl/iiif/10662315/full/max/0/default.jpg,"[{'nummer': '203533', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232484,10662316,digital image,https://media.rkd.nl/iiif/10662316/full/max/0/default.jpg,"[{'nummer': '203533', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
