priref,lref,soort,url,personen
12425,44,digital image,https://media.rkd.nl/iiif/44/full/max/0/default.jpg,"[{'nummer': '100193', 'zekerheid': None, 'beschrijving': 'zeepzieder, assur., Middelburglid raad te Mannheim, regent Walenweeshuis Amsterdam, v.a. 1668', 'status': 'huidig'}, {'nummer': '100194', 'zekerheid': None, 'beschrijving': 'Lijnslager, handelaar, reder en ijzerkoper te AmsterdamRegent van het Walenweeshuis', 'status': 'huidig'}, {'nummer': '100195', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '100196', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
15104,10712456,digital image,https://media.rkd.nl/iiif/10712456/full/max/0/default.jpg,"[{'nummer': '120853', 'zekerheid': None, 'beschrijving': 'in the foreground, in the middle', 'status': 'huidig'}, {'nummer': '120855', 'zekerheid': None, 'beschrijving': 'at the right of Claes Jager', 'status': 'huidig'}, {'nummer': '120857', 'zekerheid': None, 'beschrijving': 'standard bearer, second from left', 'status': 'huidig'}, {'nummer': '12635', 'zekerheid': None, 'beschrijving': 'at the left', 'status': 'huidig'}, {'nummer': '120861', 'zekerheid': None, 'beschrijving': 'probably the person in the foreground at the right', 'status': 'huidig'}, {'nummer': '120854', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120856', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120858', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120860', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '120862', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
15109,10712457,digital image,https://media.rkd.nl/iiif/10712457/full/max/0/default.jpg,"[{'nummer': '204019', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204020', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204021', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204022', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204023', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204024', 'zekerheid': None, 'beschrijving': 'korporaal', 'status': 'huidig'}, {'nummer': '204025', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204026', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204027', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204029', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204030', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204031', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204032', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '204033', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
15410,45,digital image,https://media.rkd.nl/iiif/45/full/max/0/default.jpg,[]
16285,46,digital image,https://media.rkd.nl/iiif/46/full/max/0/default.jpg,"[{'nummer': '205340', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
22201,10418150,digital file,https://media.rkd.nl/iiif/10418150/full/max/0/default.jpg,[]
29690,10405881,digital file,https://media.rkd.nl/iiif/10405881/full/max/0/default.jpg,"[{'nummer': '113516', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
29822,10405798,digital color photograph,https://media.rkd.nl/iiif/10405798/full/max/0/default.jpg,"[{'nummer': '113516', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
34844,10405310,digital file,https://media.rkd.nl/iiif/10405310/full/max/0/default.jpg,"[{'nummer': '113516', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
65849,10704856,digital image,https://media.rkd.nl/iiif/10704856/full/max/0/default.jpg,[]
65913,10564369,digital image,https://media.rkd.nl/iiif/10564369/full/max/0/default.jpg,[]
65913,10564371,digital image,https://media.rkd.nl/iiif/10564371/full/max/0/default.jpg,[]
65913,10564373,digital image,https://media.rkd.nl/iiif/10564373/full/max/0/default.jpg,[]
100194,9146162,ektachrome,https://media.rkd.nl/iiif/9146162/full/max/0/default.jpg,[]
111034,9147847,old black-and-white photograph,https://media.rkd.nl/iiif/9147847/full/max/0/default.jpg,[]
111035,9147846,back-side (of image),https://media.rkd.nl/iiif/9147846/full/max/0/default.jpg,[]
115515,9289558,BD/RKD/1842 - IB/Nassau,https://media.rkd.nl/iiif/9289558/full/max/0/default.jpg,"[{'nummer': '100208', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
125524,9289561,slide (photo),https://media.rkd.nl/iiif/9289561/full/max/0/default.jpg,"[{'nummer': '115330', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
127399,10869795,digital image,https://media.rkd.nl/iiif/10869795/full/max/0/default.jpg,"[{'nummer': '105514', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
127422,9331761,black and white photograph,https://media.rkd.nl/iiif/9331761/full/max/0/default.jpg,"[{'nummer': '103792', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
136184,9289574,slide (photo),https://media.rkd.nl/iiif/9289574/full/max/0/default.jpg,"[{'nummer': '109225', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
144622,9273125,color photograph,https://media.rkd.nl/iiif/9273125/full/max/0/default.jpg,"[{'nummer': '115464', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
163528,10765486,photograph,https://media.rkd.nl/iiif/10765486/full/max/0/default.jpg,"[{'nummer': '132936', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
165909,10765911,black and white photograph,https://media.rkd.nl/iiif/10765911/full/max/0/default.jpg,"[{'nummer': '105522', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
168848,10766626,photograph,https://media.rkd.nl/iiif/10766626/full/max/0/default.jpg,"[{'nummer': '136619', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
170744,9289550,black and white photograph,https://media.rkd.nl/iiif/9289550/full/max/0/default.jpg,"[{'nummer': '115316', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
172590,10765407,original photograph,https://media.rkd.nl/iiif/10765407/full/max/0/default.jpg,"[{'nummer': '137229', 'zekerheid': None, 'beschrijving': 'Heer van Knippenburg en Varel, van Rhoon en Pendrecht. Lid Ridderschap van Holland; raad ter Admiraliteit te Amsterdam 1790-1795; generaal-majoor infanterie in Engelse dienst; lid Staten van Holland.Grootkruis Orde van de Unie 25-8-1808.', 'status': 'huidig'}]"
174667,10765842,original photograph,https://media.rkd.nl/iiif/10765842/full/max/0/default.jpg,"[{'nummer': '103088', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
177041,10769066,original photograph,https://media.rkd.nl/iiif/10769066/full/max/0/default.jpg,"[{'nummer': '111083', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
178208,10763472,original photograph,https://media.rkd.nl/iiif/10763472/full/max/0/default.jpg,"[{'nummer': '111082', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
178209,10763473,original photograph,https://media.rkd.nl/iiif/10763473/full/max/0/default.jpg,"[{'nummer': '142847', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}, {'nummer': '111078', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
178211,10763474,original photograph,https://media.rkd.nl/iiif/10763474/full/max/0/default.jpg,"[{'nummer': '111083', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
178212,10763475,original photograph,https://media.rkd.nl/iiif/10763475/full/max/0/default.jpg,"[{'nummer': '125710', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
178213,10763476,original photograph,https://media.rkd.nl/iiif/10763476/full/max/0/default.jpg,"[{'nummer': '125710', 'zekerheid': None, 'beschrijving': 'Zittend', 'status': 'huidig'}, {'nummer': '125725', 'zekerheid': None, 'beschrijving': 'Staand', 'status': 'huidig'}, {'nummer': '125726', 'zekerheid': None, 'beschrijving': 'Baby', 'status': 'huidig'}]"
178215,10763477,original photograph,https://media.rkd.nl/iiif/10763477/full/max/0/default.jpg,"[{'nummer': '125710', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
178217,10763478,original photograph,https://media.rkd.nl/iiif/10763478/full/max/0/default.jpg,"[{'nummer': '142847', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
179183,10766489,original photograph,https://media.rkd.nl/iiif/10766489/full/max/0/default.jpg,"[{'nummer': '133539', 'zekerheid': None, 'beschrijving': 'Doctor phil., o.a. hoogleraar te Deventer, directeur Teylerstichting teHaarlem, lid gemeenteraad aldaar.', 'status': 'huidig'}]"
179257,10766694,original photograph,https://media.rkd.nl/iiif/10766694/full/max/0/default.jpg,"[{'nummer': '9536', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
179350,10768575,original photograph,https://media.rkd.nl/iiif/10768575/full/max/0/default.jpg,"[{'nummer': '143487', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
179981,10766187,digital image,https://media.rkd.nl/iiif/10766187/full/max/0/default.jpg,"[{'nummer': '119880', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
180384,10765876,original photograph,https://media.rkd.nl/iiif/10765876/full/max/0/default.jpg,"[{'nummer': '117908', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
180389,10768643,original photograph,https://media.rkd.nl/iiif/10768643/full/max/0/default.jpg,"[{'nummer': '108656', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
180512,10766448,original photograph,https://media.rkd.nl/iiif/10766448/full/max/0/default.jpg,"[{'nummer': '108586', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
181098,10765807,original photograph,https://media.rkd.nl/iiif/10765807/full/max/0/default.jpg,"[{'nummer': '144482', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
181134,10765722,original photograph,https://media.rkd.nl/iiif/10765722/full/max/0/default.jpg,"[{'nummer': '144504', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
181378,9164382,BD/RKD/1842 - IB/Nassau,https://media.rkd.nl/iiif/9164382/full/max/0/default.jpg,"[{'nummer': '107406', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
182173,10765956,original photograph,https://media.rkd.nl/iiif/10765956/full/max/0/default.jpg,"[{'nummer': '145179', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
202395,10399625,digital file,https://media.rkd.nl/iiif/10399625/full/max/0/default.jpg,[]
202397,10670775,digital image,https://media.rkd.nl/iiif/10670775/full/max/0/default.jpg,[]
265774,10658967,digital color photograph,https://media.rkd.nl/iiif/10658967/full/max/0/default.jpg,[]
