priref,artist_name,date,objectcat,lrefs_in_xml,reason
109624,Anoniem,1909,photograph,10783267,only excluded placeholder lrefs available: 10783267
114616,Anoniem,1563,painting,10783267,only excluded placeholder lrefs available: 10783267
119797,"Hatterman, Nola",1925,painting,10783267,only excluded placeholder lrefs available: 10783267
119880,"Westendorp-Osieck, Betsy",1930,painting,10783267,only excluded placeholder lrefs available: 10783267
121982,"Alphen, Tony van",1893,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123173,Anoniem,1500,sculpture,10783267,only excluded placeholder lrefs available: 10783267
123185,Anoniem,1750,painting,10783267,only excluded placeholder lrefs available: 10783267
123190,"Limborch, Hendrik van",1715,unknown,10783267,only excluded placeholder lrefs available: 10783267
123223,"Limborch, Hendrik van",1711,painting,10783267,only excluded placeholder lrefs available: 10783267
123229,Anoniem,1625,painting,10783267,only excluded placeholder lrefs available: 10783267
123245,"Vollenhove, Bernhard",1669,painting,10783267,only excluded placeholder lrefs available: 10783267
123254,"Vollenhove, Bernhard",1669,painting,10783267,only excluded placeholder lrefs available: 10783267
123269,"Mierevelt, Michiel van",1632,painting,10783267,only excluded placeholder lrefs available: 10783267
123312,"Mesdach, Salomon",1632,painting,10783267,only excluded placeholder lrefs available: 10783267
123326,Anoniem,1675,painting,10783267,only excluded placeholder lrefs available: 10783267
123346,"Dittlinger, Marinus Bonifacius Willem",1879,painting,10783267,only excluded placeholder lrefs available: 10783267
123347,Anoniem,1725,unknown,10783267,only excluded placeholder lrefs available: 10783267
123348,Anoniem,1725,unknown,10783267,only excluded placeholder lrefs available: 10783267
123376,"Leclerc, David",1707,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
123392,Anoniem,1350,unknown,10783267,only excluded placeholder lrefs available: 10783267
123406,"Jager, H.J. de",1676,painting,10783267,only excluded placeholder lrefs available: 10783267
123407,"Netscher, Caspar",1680,painting,10783267,only excluded placeholder lrefs available: 10783267
123408,"Netscher, Caspar",1680,painting,10783267,only excluded placeholder lrefs available: 10783267
123439,Anoniem,1750,painting,10783267,only excluded placeholder lrefs available: 10783267
123440,Anoniem,1715,painting,10783267,only excluded placeholder lrefs available: 10783267
123445,Anoniem,1675,painting,10783267,only excluded placeholder lrefs available: 10783267
123446,Anoniem,1675,painting,10783267,only excluded placeholder lrefs available: 10783267
123478,"Thopas, Johannes",1650,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123491,"Delff, Willem Jacobsz.",1609,painting,10783267,only excluded placeholder lrefs available: 10783267
123492,"Delff, Willem Jacobsz.",1609,painting,10783267,only excluded placeholder lrefs available: 10783267
123496,"Wilt, Thomas van der",1708,painting,10783267,only excluded placeholder lrefs available: 10783267
123503,"Bol, Ferdinand",1631,unknown,10783267,only excluded placeholder lrefs available: 10783267
123507,"Mijtens, Daniël (I)",1605,painting,10783267,only excluded placeholder lrefs available: 10783267
123510,"Borch, Gerard ter (II)",1632,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123516,"Verspronck, Johannes Cornelisz.",1615,painting,10783267,only excluded placeholder lrefs available: 10783267
123532,Anoniem,1641,painting,10783267,only excluded placeholder lrefs available: 10783267
123571,"Vliet, Willem van der",1615,painting,10783267,only excluded placeholder lrefs available: 10783267
123654,"Maes, Nicolaes",1691,painting,10783267,only excluded placeholder lrefs available: 10783267
123669,"Hennekyn, Paulus",1627,painting,10783267,only excluded placeholder lrefs available: 10783267
123671,"Maes, Nicolaes",1649,painting,10783267,only excluded placeholder lrefs available: 10783267
123672,"Maes, Nicolaes",1649,painting,10783267,only excluded placeholder lrefs available: 10783267
123673,Anoniem,1628,painting,10783267,only excluded placeholder lrefs available: 10783267
123677,"Naiveu, Matthijs",1662,painting,10783267,only excluded placeholder lrefs available: 10783267
123682,"Wolfsen, Aleida",1679,painting,10783267,only excluded placeholder lrefs available: 10783267
123693,"Borch, Gerard ter (II)",1632,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
123701,"Ketel, Cornelis",1601,painting,10783267,only excluded placeholder lrefs available: 10783267
123702,"Oever, Hendrick ten",1686,painting,10783267,only excluded placeholder lrefs available: 10783267
123716,"Jelgerhuis, Rienk",1792,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123717,"Jelgerhuis, Rienk",1792,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123727,"Daiwaille, Jean Augustin",1801,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123734,"Delff, Jacob Willemsz. (II)",1647,painting,10783267,only excluded placeholder lrefs available: 10783267
123735,"Maes, Nicolaes",1677,painting,10783267,only excluded placeholder lrefs available: 10783267
123742,Anoniem,1648,painting,10783267,only excluded placeholder lrefs available: 10783267
123755,Anoniem,1600,painting,10783267,only excluded placeholder lrefs available: 10783267
123777,"Keyser, Thomas de",1649,painting,10783267,only excluded placeholder lrefs available: 10783267
123788,"Delff, Jacob Willemsz. (II)",1647,painting,10783267,only excluded placeholder lrefs available: 10783267
123797,"Jansz. de Stomme, Jan",1652,painting,10783267,only excluded placeholder lrefs available: 10783267
123853,"Witsen, Willem",1896,painting,10783267,only excluded placeholder lrefs available: 10783267
123857,"Ros, Johannes Dominicus",1890,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123858,"Mancini, Antonio",1857,unknown,10783267,only excluded placeholder lrefs available: 10783267
123864,"Schelfhout, Lodewijk",1916,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123868,"Legner, Johan Coenraad Ulrich",1874,painting,10783267,only excluded placeholder lrefs available: 10783267
123881,"Quinkhard, Jan Maurits",1745,painting,10783267,only excluded placeholder lrefs available: 10783267
123907,"Dupuis, Toon",1892,sculpture,10783267,only excluded placeholder lrefs available: 10783267
123914,"Hazelhoff Roelfzema, Maria",1908,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
